,time,cell,cell_state,IFNg,transferable_cytotoxic_packets,X,Y,experiment_id
192,2400.0,tcell_32,PD1p,0.054969101345423294,123.49999999999984,!units[758.7772849971041 micrometer],!units[407.64870956386966 micrometer],tumor_tcell_20230626.211422
193,2400.0,tcell_33,PD1p,0.25765375752511793,400.0,!units[663.691192293564 micrometer],!units[870.4370195782071 micrometer],tumor_tcell_20230626.211422
194,2400.0,tcell_34,PD1p,0.12161686540027775,73.10000000000002,!units[851.498775738741 micrometer],!units[695.7350263164416 micrometer],tumor_tcell_20230626.211422
195,2400.0,tcell_35,PD1p,0.530919500232536,400.0,!units[532.6354699701365 micrometer],!units[850.6889416709894 micrometer],tumor_tcell_20230626.211422
196,2400.0,tcell_36,PD1p,0.05608665372591693,0.0,!units[752.0253151498497 micrometer],!units[423.4244269979857 micrometer],tumor_tcell_20230626.211422
197,2400.0,tcell_37,PD1p,0.3089496434294342,400.0,!units[502.34178922061085 micrometer],!units[837.0477392687844 micrometer],tumor_tcell_20230626.211422
198,2400.0,tcell_38,PD1p,0.046217742299525695,400.0,!units[764.6581516510769 micrometer],!units[803.3197669855111 micrometer],tumor_tcell_20230626.211422
199,2400.0,tcell_39,PD1p,0.09898773149277736,0.0,!units[438.4356227374868 micrometer],!units[797.2453540645631 micrometer],tumor_tcell_20230626.211422
200,3000.0,tcell_0,PD1n,1.8908949803495667,400.0,!units[835.8050151709537 micrometer],!units[575.5054576493889 micrometer],tumor_tcell_20230626.211422
201,3000.0,tcell_1,PD1n,0.09521860045660409,400.0,!units[712.4509976567375 micrometer],!units[373.21409270017386 micrometer],tumor_tcell_20230626.211422
202,3000.0,tcell_2,PD1n,1.8643340097775498,400.0,!units[627.7936426683697 micrometer],!units[891.8370690383352 micrometer],tumor_tcell_20230626.211422
203,3000.0,tcell_3,PD1n,1.8212008481517803,400.0,!units[952.9631616509772 micrometer],!units[546.2207549186189 micrometer],tumor_tcell_20230626.211422
204,3000.0,tcell_4,PD1n,0.010927486568688598,31.5,!units[509.18713767803945 micrometer],!units[326.44998830028254 micrometer],tumor_tcell_20230626.211422
205,3000.0,tcell_5,PD1n,2.0966894524199966,400.0,!units[570.2689106805564 micrometer],!units[876.5204888600525 micrometer],tumor_tcell_20230626.211422
206,3000.0,tcell_6,PD1n,1.8871911065569345,400.0,!units[577.7979063118386 micrometer],!units[838.7187493663323 micrometer],tumor_tcell_20230626.211422
207,3000.0,tcell_7,PD1n,0.9546202068619383,400.0,!units[528.4268522654952 micrometer],!units[873.0553444825964 micrometer],tumor_tcell_20230626.211422
208,3000.0,tcell_8,PD1n,1.4308237202458394,400.0,!units[627.9102169026028 micrometer],!units[367.314930707184 micrometer],tumor_tcell_20230626.211422
209,3000.0,tcell_9,PD1p,0.872020271078564,400.0,!units[875.4846689570885 micrometer],!units[602.820898360214 micrometer],tumor_tcell_20230626.211422
210,3000.0,tcell_10,PD1p,1.0577105961525484,400.0,!units[620.7161731084606 micrometer],!units[853.5193992452296 micrometer],tumor_tcell_20230626.211422
211,3000.0,tcell_11,PD1p,1.822175744552449,87.60000000000004,!units[578.0447125854322 micrometer],!units[850.5642193703123 micrometer],tumor_tcell_20230626.211422
212,3000.0,tcell_12,PD1p,0.05725459649835729,75.00000000000001,!units[565.1836188285267 micrometer],!units[333.28361206274775 micrometer],tumor_tcell_20230626.211422
213,3000.0,tcell_13,PD1p,0.04437474527678363,8.9,!units[729.99131062004 micrometer],!units[386.5464850450761 micrometer],tumor_tcell_20230626.211422
214,3000.0,tcell_14,PD1p,0.39258290425673514,400.0,!units[835.1839632421625 micrometer],!units[484.3295454735849 micrometer],tumor_tcell_20230626.211422
215,3000.0,tcell_15,PD1p,0.030533193114735412,400.0,!units[382.38258483246807 micrometer],!units[481.7261553403066 micrometer],tumor_tcell_20230626.211422
216,3000.0,tcell_16,PD1p,0.07700491767798073,400.0,!units[696.8241438841158 micrometer],!units[820.5279669083536 micrometer],tumor_tcell_20230626.211422
217,3000.0,tcell_17,PD1p,0.004066489002610477,117.60000000000002,!units[354.9562571316752 micrometer],!units[731.024394915316 micrometer],tumor_tcell_20230626.211422
218,3000.0,tcell_18,PD1p,0.18521898130073167,0.0,!units[473.4589887765494 micrometer],!units[828.0169870004812 micrometer],tumor_tcell_20230626.211422
219,3000.0,tcell_19,PD1p,0.14563983339920591,400.0,!units[810.4229966625085 micrometer],!units[723.8758295842853 micrometer],tumor_tcell_20230626.211422
220,3000.0,tcell_20,PD1p,0.5263358399368849,400.0,!units[798.187684196101 micrometer],!units[617.4087074832976 micrometer],tumor_tcell_20230626.211422
